"frequency","Slope of conduction_velocity","Lower","Upper","Significance"
-26.194125489924,-0.0311434858411787,-0.0642415451173666,0.00195457343500923,"Insignificant"
-25.871384713811,-0.0310233873157587,-0.064076519776779,0.00202974514526163,"Insignificant"
-25.5486439376981,-0.0309032887903387,-0.063911564581593,0.0021049870009157,"Insignificant"
-25.2259031615851,-0.0307831902649187,-0.06374667981817,0.00218029928833271,"Insignificant"
-24.9031623854721,-0.0306630917394986,-0.0635818657739788,0.0022556822949815,"Insignificant"
-24.5804216093591,-0.0305429932140786,-0.0634171227375971,0.00233113630943979,"Insignificant"
-24.2576808332462,-0.0304228946886586,-0.0632524509987128,0.00240666162139553,"Insignificant"
-23.9349400571332,-0.0303027961632386,-0.0630878508481254,0.00248225852164816,"Insignificant"
-23.6121992810202,-0.0301826976378186,-0.062923322577747,0.00255792730210984,"Insignificant"
-23.2894585049072,-0.0300625991123986,-0.0627588664806038,0.00263366825580664,"Insignificant"
-22.9667177287943,-0.0299425005869786,-0.0625944828508367,0.0027094816768796,"Insignificant"
-22.6439769526813,-0.0298224020615586,-0.0624301719837029,0.00278536786058583,"Insignificant"
-22.3212361765683,-0.0297023035361385,-0.0622659341755766,0.00286132710329952,"Insignificant"
-21.9984954004553,-0.0295822050107185,-0.0621017697239499,0.00293735970251284,"Insignificant"
-21.6757546243424,-0.0294621064852985,-0.061937678927434,0.00301346595683691,"Insignificant"
-21.3530138482294,-0.0293420079598785,-0.0617736620857596,0.00308964616600257,"Insignificant"
-21.0302730721164,-0.0292219094344585,-0.0616097194997781,0.00316590063086114,"Insignificant"
-20.7075322960034,-0.0291018109090385,-0.0614458514714622,0.00324222965338523,"Insignificant"
-20.3847915198905,-0.0289817123836185,-0.0612820583039062,0.00331863353666929,"Insignificant"
-20.0620507437775,-0.0288616138581985,-0.0611183403013272,0.00339511258493025,"Insignificant"
-19.7393099676645,-0.0287415153327784,-0.0609546977690649,0.00347166710350804,"Insignificant"
-19.4165691915516,-0.0286214168073584,-0.0607911310135829,0.00354829739886607,"Insignificant"
-19.0938284154386,-0.0285013182819384,-0.0606276403424685,0.00362500377859161,"Insignificant"
-18.7710876393256,-0.0283812197565184,-0.0604642260644329,0.00370178655139612,"Insignificant"
-18.4483468632126,-0.0282611212310984,-0.0603008884893123,0.00377864602711554,"Insignificant"
-18.1256060870997,-0.0281410227056784,-0.0601376279280672,0.00385558251671046,"Insignificant"
-17.8028653109867,-0.0280209241802584,-0.059974444692783,0.00393259633226627,"Insignificant"
-17.4801245348737,-0.0279008256548384,-0.0598113390966699,0.00400968778699323,"Insignificant"
-17.1573837587607,-0.0277807271294183,-0.0596483114540631,0.00408685719522641,"Insignificant"
-16.8346429826478,-0.0276606286039983,-0.0594853620804223,0.00416410487242569,"Insignificant"
-16.5119022065348,-0.0275405300785783,-0.0593224912923321,0.0042414311351755,"Insignificant"
-16.1891614304218,-0.0274204315531583,-0.0591596994075013,0.00431883630118468,"Insignificant"
-15.8664206543088,-0.0273003330277383,-0.0589969867447627,0.00439632068928611,"Insignificant"
-15.5436798781959,-0.0271802345023183,-0.0588343536240729,0.00447388461943635,"Insignificant"
-15.2209391020829,-0.0270601359768983,-0.0586718003665117,0.00455152841271522,"Insignificant"
-14.8981983259699,-0.0269400374514783,-0.0585093272942817,0.00462925239132517,"Insignificant"
-14.5754575498569,-0.0268199389260582,-0.0583469347307072,0.00470705687859074,"Insignificant"
-14.252716773744,-0.0266998404006382,-0.0581846230002343,0.00478494219895782,"Insignificant"
-13.929975997631,-0.0265797418752182,-0.0580223924284293,0.0048629086779929,"Insignificant"
-13.607235221518,-0.0264596433497982,-0.0578602433419786,0.00494095664238216,"Insignificant"
-13.284494445405,-0.0263395448243782,-0.0576981760686869,0.00501908641993056,"Insignificant"
-12.9617536692921,-0.0262194462989582,-0.0575361909374771,0.00509729833956078,"Insignificant"
-12.6390128931791,-0.0260993477735382,-0.0573742882783884,0.00517559273131209,"Insignificant"
-12.3162721170661,-0.0259792492481181,-0.0572124684225755,0.00525396992633919,"Insignificant"
-11.9935313409531,-0.0258591507226981,-0.0570507317023071,0.00533243025691085,"Insignificant"
-11.6707905648402,-0.0257390521972781,-0.0568890784509648,0.00541097405640857,"Insignificant"
-11.3480497887272,-0.0256189536718581,-0.0567275090030413,0.00548960165932504,"Insignificant"
-11.0253090126142,-0.0254988551464381,-0.0565660236941389,0.00556831340126266,"Insignificant"
-10.7025682365012,-0.0253787566210181,-0.0564046228609679,0.00564710961893175,"Insignificant"
-10.3798274603883,-0.0252586580955981,-0.0562433068413451,0.00572599065014891,"Insignificant"
-10.0570866842753,-0.0251385595701781,-0.0560820759741912,0.00580495683383508,"Insignificant"
-9.73434590816233,-0.025018461044758,-0.0559209305995297,0.00588400851001362,"Insignificant"
-9.41160513204935,-0.024898362519338,-0.0557598710584843,0.00596314601980824,"Insignificant"
-9.08886435593638,-0.024778263993918,-0.0555988976932769,0.00604236970544085,"Insignificant"
-8.76612357982341,-0.024658165468498,-0.0554380108472253,0.00612167991022932,"Insignificant"
-8.44338280371043,-0.024538066943078,-0.0552772108647411,0.00620107697858511,"Insignificant"
-8.12064202759746,-0.024417968417658,-0.0551164980913268,0.0062805612560108,"Insignificant"
-7.79790125148448,-0.024297869892238,-0.0549558728735735,0.00636013308909754,"Insignificant"
-7.47516047537151,-0.024177771366818,-0.0547953355591583,0.00643979282552236,"Insignificant"
-7.15241969925854,-0.0240576728413979,-0.0546348864968413,0.00651954081404541,"Insignificant"
-6.82967892314556,-0.0239375743159779,-0.0544745260364629,0.00659937740450708,"Insignificant"
-6.50693814703259,-0.0238174757905579,-0.0543142545289408,0.00667930294782498,"Insignificant"
-6.18419737091961,-0.0236973772651379,-0.0541540723262666,0.00675931779599081,"Insignificant"
-5.86145659480664,-0.0235772787397179,-0.053993979781503,0.0068394223020672,"Insignificant"
-5.53871581869367,-0.0234571802142979,-0.0538339772487801,0.00691961682018434,"Insignificant"
-5.21597504258069,-0.0233370816888779,-0.0536740650832923,0.00699990170553652,"Insignificant"
-4.89323426646772,-0.0232169831634579,-0.0535142436412943,0.00708027731437859,"Insignificant"
-4.57049349035474,-0.0230968846380378,-0.0533545132800979,0.00716074400402224,"Insignificant"
-4.24775271424177,-0.0229767861126178,-0.0531948743580679,0.00724130213283226,"Insignificant"
-3.9250119381288,-0.0228566875871978,-0.0530353272346182,0.00732195206022254,"Insignificant"
-3.60227116201582,-0.0227365890617778,-0.0528758722702077,0.00740269414665208,"Insignificant"
-3.27953038590285,-0.0226164905363578,-0.0527165098263364,0.00748352875362083,"Insignificant"
-2.95678960978987,-0.0224963920109378,-0.0525572402655409,0.00756445624366533,"Insignificant"
-2.6340488336769,-0.0223762934855178,-0.0523980639513899,0.0076454769803544,"Insignificant"
-2.31130805756392,-0.0222561949600977,-0.05223898124848,0.00772659132828449,"Insignificant"
-1.98856728145095,-0.0221360964346777,-0.0520799925224306,0.0078077996530751,"Insignificant"
-1.66582650533798,-0.0220159979092577,-0.0519210981398794,0.00788910232136391,"Insignificant"
-1.343085729225,-0.0218958993838377,-0.0517622984684773,0.0079704997008019,"Insignificant"
-1.02034495311203,-0.0217758008584177,-0.0516035938768837,0.00805199216004826,"Insignificant"
-0.69760417699905,-0.0216557023329977,-0.0514449847347606,0.00813358006876521,"Insignificant"
-0.374863400886078,-0.0215356038075777,-0.051286471412768,0.00821526379761265,"Insignificant"
-0.052122624773105,-0.0214155052821577,-0.0511280542825581,0.00829704371824275,"Insignificant"
0.270618151339868,-0.0212954067567376,-0.0509697337167695,0.00837892020329425,"Insignificant"
0.59335892745284,-0.0211753082313176,-0.0508115100890221,0.00846089362638684,"Insignificant"
0.91609970356582,-0.0210552097058976,-0.0506533837739104,0.00854296436211519,"Insignificant"
1.23884047967879,-0.0209351111804776,-0.0504953551469981,0.00862513278604293,"Insignificant"
1.56158125579176,-0.0208150126550576,-0.0503374245848118,0.00870739927469657,"Insignificant"
1.88432203190474,-0.0206949141296376,-0.0501795924648343,0.00878976420555912,"Insignificant"
2.20706280801772,-0.0205748156042176,-0.0500218591654988,0.00887222795706364,"Insignificant"
2.52980358413069,-0.0204547170787976,-0.0498642250661818,0.00895479090858669,"Insignificant"
2.85254436024366,-0.0203346185533775,-0.0497066905471966,0.00903745344044155,"Insignificant"
3.17528513635664,-0.0202145200279575,-0.0495492559897864,0.00912021593387131,"Insignificant"
3.49802591246961,-0.0200944215025375,-0.0493919217761169,0.0092030787710419,"Insignificant"
3.82076668858259,-0.0199743229771175,-0.0492346882892698,0.00928604233503483,"Insignificant"
4.14350746469556,-0.0198542244516975,-0.0490775559132348,0.00936910700983984,"Insignificant"
4.46624824080853,-0.0197341259262775,-0.0489205250329024,0.00945227318034745,"Insignificant"
4.78898901692151,-0.0196140274008575,-0.0487635960340562,0.00953554123234129,"Insignificant"
5.11172979303448,-0.0194939288754375,-0.0486067693033652,0.00961891155249026,"Insignificant"
5.43447056914746,-0.0193738303500174,-0.0484500452283755,0.00970238452834058,"Insignificant"
5.75721134526043,-0.0192537318245974,-0.0482934241975026,0.0097859605483077,"Insignificant"
6.0799521213734,-0.0191336332991774,-0.0481369066000228,0.00986964000166794,"Insignificant"
6.40269289748638,-0.0190135347737574,-0.0479804928260649,0.0099534232785501,"Insignificant"
6.72543367359935,-0.0188934362483374,-0.0478241832666016,0.0100373107699269,"Insignificant"
7.04817444971233,-0.0187733377229174,-0.0476679783134407,0.0101213028676059,"Insignificant"
7.3709152258253,-0.0186532391974974,-0.047511878359216,0.0102053999642212,"Insignificant"
7.69365600193827,-0.0185331406720774,-0.0473558837973784,0.0102896024532237,"Insignificant"
8.01639677805125,-0.0184130421466573,-0.0471999950221867,0.010373910728872,"Insignificant"
8.33913755416422,-0.0182929436212373,-0.0470442124286979,0.0104583251862232,"Insignificant"
8.66187833027719,-0.0181728450958173,-0.0468885364127578,0.0105428462211232,"Insignificant"
8.98461910639017,-0.0180527465703973,-0.0467329673709912,0.0106274742301966,"Insignificant"
9.30735988250315,-0.0179326480449773,-0.0465775057007918,0.0107122096108372,"Insignificant"
9.63010065861612,-0.0178125495195573,-0.0464221518003122,0.0107970527611977,"Insignificant"
9.95284143472909,-0.0176924509941373,-0.0462669060684538,0.0108820040801793,"Insignificant"
10.2755822108421,-0.0175723524687172,-0.0461117689048558,0.0109670639674213,"Insignificant"
10.598322986955,-0.0174522539432972,-0.0459567407098852,0.0110522328232907,"Insignificant"
10.921063763068,-0.0173321554178772,-0.0458018218846254,0.011137511048871,"Insignificant"
11.243804539181,-0.0172120568924572,-0.0456470128308658,0.0112228990459514,"Insignificant"
11.566545315294,-0.0170919583670372,-0.04549231395109,0.0113083972170156,"Insignificant"
11.8892860914069,-0.0169718598416172,-0.0453377256484648,0.0113940059652304,"Insignificant"
12.2120268675199,-0.0168517613161972,-0.0451832483268287,0.0114797256944344,"Insignificant"
12.5347676436329,-0.0167316627907772,-0.0450288823906801,0.0115655568091258,"Insignificant"
12.8575084197459,-0.0166115642653571,-0.0448746282451652,0.0116514997144509,"Insignificant"
13.1802491958588,-0.0164914657399371,-0.0447204862960664,0.0117375548161921,"Insignificant"
13.5029899719718,-0.0163713672145171,-0.0445664569497895,0.0118237225207553,"Insignificant"
13.8257307480848,-0.0162512686890971,-0.0444125406133516,0.0119100032351574,"Insignificant"
14.1484715241978,-0.0161311701636771,-0.0442587376943684,0.0119963973670142,"Insignificant"
14.4712123003107,-0.0160110716382571,-0.0441050486010411,0.0120829053245269,"Insignificant"
14.7939530764237,-0.0158909731128371,-0.0439514737421439,0.0121695275164697,"Insignificant"
15.1166938525367,-0.0157708745874171,-0.0437980135270104,0.0122562643521762,"Insignificant"
15.4394346286496,-0.015650776061997,-0.0436446683655202,0.0123431162415262,"Insignificant"
15.7621754047626,-0.015530677536577,-0.0434914386680858,0.0124300835949318,"Insignificant"
16.0849161808756,-0.015410579011157,-0.0433383248456382,0.0125171668233241,"Insignificant"
16.4076569569886,-0.015290480485737,-0.0431853273096132,0.0126043663381392,"Insignificant"
16.7303977331016,-0.015170381960317,-0.0430324464719374,0.0126916825513034,"Insignificant"
17.0531385092145,-0.015050283434897,-0.0428796827450138,0.0127791158752199,"Insignificant"
17.3758792853275,-0.014930184909477,-0.0427270365417071,0.0128666667227532,"Insignificant"
17.6986200614405,-0.0148100863840569,-0.042574508275329,0.0129543355072151,"Insignificant"
18.0213608375534,-0.0146899878586369,-0.0424220983596235,0.0130421226423496,"Insignificant"
18.3441016136664,-0.0145698893332169,-0.0422698072087515,0.0131300285423176,"Insignificant"
18.6668423897794,-0.0144497908077969,-0.0421176352372756,0.0132180536216818,"Insignificant"
18.9895831658924,-0.0143296922823769,-0.0419655828601449,0.0133061982953911,"Insignificant"
19.3123239420053,-0.0142095937569569,-0.0418136504926786,0.0133944629787648,"Insignificant"
19.6350647181183,-0.0140894952315369,-0.0416618385505507,0.013482848087477,"Insignificant"
19.9578054942313,-0.0139693967061169,-0.0415101474497739,0.0135713540375401,"Insignificant"
20.2805462703443,-0.0138492981806969,-0.0413585776066827,0.013659981245289,"Insignificant"
20.6032870464572,-0.0137291996552768,-0.0412071294379177,0.013748730127364,"Insignificant"
20.9260278225702,-0.0136091011298568,-0.0410558033604084,0.0138376011006947,"Insignificant"
21.2487685986832,-0.0134890026044368,-0.0409045997913564,0.0139265945824828,"Insignificant"
21.5715093747962,-0.0133689040790168,-0.0407535191482186,0.014015710990185,"Insignificant"
21.8942501509091,-0.0132488055535968,-0.0406025618486895,0.014104950741496,"Insignificant"
