,animal_id,unit_id,test_id,trial_id,sex,unit_type,initial_conduction_velocity,initial_amplitude,initial_latency,recording_distance,test,test_frequency,test_amplitude,absolute_charge,latency_actual_mean,latency_normal_mean,cv_actual_mean,cv_normal_mean,amplitude_actual_mean,amplitude_normal_mean
0,hff19,hff19_5,frequency_electrical_10.0~-1.0_1.0,hff19_5_frequency_electrical_10.0~-1.0_1.0_0,M,Ad,14.40682945536253,189.14258398056097,4.025,57.98748855783419,frequency,10.0,1.0,12.0,4.045,0.004968944099378758,14.335596676844052,-0.0049443757725585735,190.88143170693482,0.009193316966382037
1,hff05,hff05_2,frequency_electrical_10.0~-1.0_1.0,hff05_2_frequency_electrical_10.0~-1.0_1.0_1,M,Ad,15.127191242303578,73.59375813850184,5.496875,83.15227936003748,frequency,10.0,1.0,18.0,5.511666666666668,0.002690922872844448,15.086594380411999,-0.002683701239794556,69.68220443951667,-0.05315061763286655
2,hff02,hff02_2,frequency_electrical_10.0~-1.0_1.0,hff02_2_frequency_electrical_10.0~-1.0_1.0_0,M,SA,15.836799519853214,269.0880298799405,3.254166666666667,51.535585104189,frequency,10.0,1.0,66.0,3.2518518518518524,-0.0007113387395076831,15.848072868030783,0.0007118451025054373,271.55752042062466,0.009177258987647985
3,hff05,hff05_1,frequency_electrical_10.0~-1.0_1.0,hff05_1_frequency_electrical_10.0~-1.0_1.0_1,M,,16.38792783763195,123.77709580375225,5.207142857142857,85.33428138309779,frequency,10.0,1.0,18.0,5.211666666666667,0.0008687700045724167,16.37370285572711,-0.0008680158983964681,117.92035019328476,-0.04731687694267217
4,hff20,hff20_1,frequency_electrical_10.0~-1.0_1.0,hff20_1_frequency_electrical_10.0~-1.0_1.0_0,F,SA,17.951329875519964,183.73775451190517,2.8583333333333334,51.310884560861226,frequency,10.0,1.0,18.0,2.8716666666666666,0.004664723032069995,17.867980694438035,-0.004643064422518939,181.66962053383486,-0.011255901018080161
5,hff10,hff10_1,frequency_electrical_10.0~-1.0_1.0,hff10_1_frequency_electrical_10.0~-1.0_1.0_0,F,FA,17.98280010269721,89.72082023642793,4.8375,86.99179549679776,frequency,10.0,1.0,6.0,4.8533333333333335,0.0032730404823426706,17.92413368752701,-0.0032623626373626813,93.06273509322064,0.037247930279574515
6,hff13,hff13_2,frequency_electrical_10.0~-1.0_1.0,hff13_2_frequency_electrical_10.0~-1.0_1.0_0,F,FA,18.868919131922272,337.6921105023595,2.5458333333333334,48.03712329001878,frequency,10.0,1.0,12.0,2.58,0.013420621931260257,18.619040034891,-0.013242894056847643,336.7619192559372,-0.0027545542744205065
7,hff19,hff19_3,frequency_electrical_10.0~-1.0_1.0,hff19_3_frequency_electrical_10.0~-1.0_1.0_0,M,FA,19.745486271016695,553.9153403016173,4.661111111111111,92.03590545212782,frequency,10.0,1.0,60.0,4.704999999999999,0.009415971394516998,19.561297651886893,-0.009328137914747736,560.2191283150298,0.011380417826991396
8,hff11,hff11_2,frequency_electrical_10.0~-1.0_1.0,hff11_2_frequency_electrical_10.0~-1.0_1.0_0,F,FA,22.135128780021784,754.8698244039134,2.1725000000000003,48.08856727459733,frequency,10.0,1.0,36.0,2.1649999999999996,-0.0034522439585733533,22.21180936471009,0.0034642032332565798,643.8817321782197,-0.14702944618740843
9,hff02,hff02_1,frequency_electrical_10.0~-1.0_1.0,hff02_1_frequency_electrical_10.0~-1.0_1.0_0,M,FA,22.20494034099179,92.24261484244673,2.785714285714286,61.85661952133428,frequency,10.0,1.0,24.0,2.7791666666666677,-0.00235042735042712,22.257254400480093,0.002355964874705352,92.21331752169245,-0.00031761155951970377
10,hff19,hff19_2,frequency_electrical_10.0~-1.0_1.0,hff19_2_frequency_electrical_10.0~-1.0_1.0_0,M,SA,23.202329105578443,354.017942312498,3.966666666666667,92.03590545212782,frequency,10.0,1.0,18.0,3.9125,-0.013655462184874012,23.52355410917005,0.013844515441959526,357.4639335949213,0.00973394529077698
11,hff12,hff12_1,frequency_electrical_10.0~-1.0_1.0,hff12_1_frequency_electrical_10.0~-1.0_1.0_1,F,Ad,24.451816072112912,293.1048530396073,2.7964285714285717,68.3777570873729,frequency,10.0,1.0,12.0,2.8033333333333332,0.0024691358024691024,24.391589924152047,-0.0024630541871919487,278.9711377545685,-0.048220679864106275
12,hff11,hff11_1,frequency_electrical_10.0~-1.0_1.0,hff11_1_frequency_electrical_10.0~-1.0_1.0_0,F,FA,25.854068427202865,73.26767352271675,1.86,48.08856727459733,frequency,10.0,1.0,36.0,1.9041666666666663,0.023745519713261443,25.254389815981096,-0.02319474835886204,82.67590876593324,0.12840908945060825
13,hff15,hff15_1,frequency_electrical_10.0~-1.0_1.0,hff15_1_frequency_electrical_10.0~-1.0_1.0_1,M,,28.103205149979775,148.9202714573493,2.1125,59.36802087933227,frequency,10.0,1.0,24.0,2.128333333333333,0.007495069033530477,27.894136670007338,-0.007439310884886252,136.58630538666338,-0.08282261340235564
14,hff16,hff16_1,frequency_electrical_10.0~-1.0_1.0,hff16_1_frequency_electrical_10.0~-1.0_1.0_0,M,SA,28.430261549470504,815.9724887008271,2.5027777777777778,71.15462682242479,frequency,10.0,1.0,42.0,2.5025000000000004,-0.00011098779134277592,28.433417311658253,0.00011100011099984819,829.0885529198099,0.016074150048693392
15,hff08,hff08_1,frequency_electrical_10.0~-1.0_1.0,hff08_1_frequency_electrical_10.0~-1.0_1.0_0,F,FA,31.187411911603604,53.47659635247318,1.6291666666666667,50.809491905987535,frequency,10.0,1.0,18.0,1.6416666666666666,0.007672634271099765,30.94994430821576,-0.0076142131979695105,47.615654226463654,-0.10959826402149975
16,hff03,hff03_3,frequency_electrical_10.0~-1.0_1.0,hff03_3_frequency_electrical_10.0~-1.0_1.0_1,F,FA,32.67135269699128,165.17289178910184,1.5250000000000001,49.8238128629117,frequency,10.0,1.0,30.0,1.528333333333333,0.0021857923497266007,32.60009565730319,-0.0021810250817881904,169.07960405291183,0.02365226049803759
17,hff19,hff19_5,frequency_electrical_25.0~-1.0_1.0,hff19_5_frequency_electrical_25.0~-1.0_1.0_0,M,Ad,14.40682945536253,189.14258398056097,4.025,57.98748855783419,frequency,25.0,1.0,30.0,4.066333333333334,0.010269151138716293,14.26038738203972,-0.010164767603901947,189.15353237777921,5.7884358920290424e-05
18,hff05,hff05_2,frequency_electrical_25.0~-1.0_1.0,hff05_2_frequency_electrical_25.0~-1.0_1.0_1,M,Ad,15.127191242303578,73.59375813850184,5.496875,83.15227936003748,frequency,25.0,1.0,45.0,5.548333333333333,0.009361379571726225,14.986893246026582,-0.009274556924001143,66.59740373776216,-0.09506722550535729
19,hff02,hff02_2,frequency_electrical_25.0~-1.0_1.0,hff02_2_frequency_electrical_25.0~-1.0_1.0_0,M,SA,15.836799519853214,269.0880298799405,3.254166666666667,51.535585104189,frequency,25.0,1.0,165.0,3.269178082191781,0.004612983003876359,15.764080086343167,-0.00459180110342905,262.6141092253578,-0.024058746342121462
20,hff05,hff05_1,frequency_electrical_25.0~-1.0_1.0,hff05_1_frequency_electrical_25.0~-1.0_1.0_1,M,,16.38792783763195,123.77709580375225,5.207142857142857,85.33428138309779,frequency,25.0,1.0,45.0,5.271283783783784,0.012317873428984605,16.188519700952988,-0.012167989672315804,121.48973660655052,-0.018479664451235167
21,hff20,hff20_1,frequency_electrical_25.0~-1.0_1.0,hff20_1_frequency_electrical_25.0~-1.0_1.0_0,F,SA,17.951329875519964,183.73775451190517,2.8583333333333334,51.310884560861226,frequency,25.0,1.0,45.0,2.8826666666666667,0.008513119533527735,17.799798066903755,-0.00844125809435714,188.6237011498114,0.026591957928764565
22,hff10,hff10_1,frequency_electrical_25.0~-1.0_1.0,hff10_1_frequency_electrical_25.0~-1.0_1.0_0,F,FA,17.98280010269721,89.72082023642793,4.8375,86.99179549679776,frequency,25.0,1.0,15.0,4.879,0.008578811369508887,17.82984125779827,-0.008505841360934574,93.02875182590739,0.03686916348694269
23,hff13,hff13_2,frequency_electrical_25.0~-1.0_1.0,hff13_2_frequency_electrical_25.0~-1.0_1.0_0,F,FA,18.868919131922272,337.6921105023595,2.5458333333333334,48.03712329001878,frequency,25.0,1.0,30.0,2.540333333333334,-0.0021603927986902915,18.90977166645536,0.0021650702007607325,335.4367631335724,-0.006678709092232005
24,hff19,hff19_3,frequency_electrical_25.0~-1.0_1.0,hff19_3_frequency_electrical_25.0~-1.0_1.0_0,M,FA,19.745486271016695,553.9153403016173,4.661111111111111,92.03590545212782,frequency,25.0,1.0,150.0,4.789705882352942,0.027588866297413084,19.21535637317989,-0.026848156108211563,560.9745294667401,0.012744166213701336
25,hff11,hff11_2,frequency_electrical_25.0~-1.0_1.0,hff11_2_frequency_electrical_25.0~-1.0_1.0_0,F,FA,22.135128780021784,754.8698244039134,2.1725000000000003,48.08856727459733,frequency,25.0,1.0,90.0,2.2,0.012658227848101111,21.858439670271512,-0.012499999999999956,645.5272808336371,-0.14484953568864567
26,hff02,hff02_1,frequency_electrical_25.0~-1.0_1.0,hff02_1_frequency_electrical_25.0~-1.0_1.0_0,M,FA,22.20494034099179,92.24261484244673,2.785714285714286,61.85661952133428,frequency,25.0,1.0,60.0,2.790579710144928,0.0017465626161279335,22.1662256399484,-0.0017435174537226983,91.53252738526845,-0.007698041283750734
27,hff19,hff19_2,frequency_electrical_25.0~-1.0_1.0,hff19_2_frequency_electrical_25.0~-1.0_1.0_0,M,SA,23.202329105578443,354.017942312498,3.966666666666667,92.03590545212782,frequency,25.0,1.0,45.0,3.9710000000000005,0.001092436974790001,23.177009683235408,-0.0010912448585580492,362.5395191824727,0.02407103101698871
28,hff12,hff12_1,frequency_electrical_25.0~-1.0_1.0,hff12_1_frequency_electrical_25.0~-1.0_1.0_1,F,Ad,24.451816072112912,293.1048530396073,2.7964285714285717,68.3777570873729,frequency,25.0,1.0,30.0,2.8013333333333335,0.0017539378458917287,24.409004195873237,-0.0017508669341129712,297.0954119110609,0.01361478266248417
29,hff11,hff11_1,frequency_electrical_25.0~-1.0_1.0,hff11_1_frequency_electrical_25.0~-1.0_1.0_0,F,FA,25.854068427202865,73.26767352271675,1.86,48.08856727459733,frequency,25.0,1.0,90.0,1.9923333333333335,0.07114695340501798,24.136808068226866,-0.06642128157938765,97.04902652809112,0.32458179524426867
30,hff15,hff15_1,frequency_electrical_25.0~-1.0_1.0,hff15_1_frequency_electrical_25.0~-1.0_1.0_1,M,,28.103205149979775,148.9202714573493,2.1125,59.36802087933227,frequency,25.0,1.0,60.0,2.129,0.007810650887574155,27.885402010019856,-0.007750117426021608,143.9059927044419,-0.033670894525218986
31,hff16,hff16_1,frequency_electrical_25.0~-1.0_1.0,hff16_1_frequency_electrical_25.0~-1.0_1.0_0,M,SA,28.430261549470504,815.9724887008271,2.5027777777777778,71.15462682242479,frequency,25.0,1.0,105.0,2.5755319148936175,0.029069355562377774,27.62715787405175,-0.02824819863233763,753.775493090557,-0.07622437823767647
32,hff08,hff08_1,frequency_electrical_25.0~-1.0_1.0,hff08_1_frequency_electrical_25.0~-1.0_1.0_0,F,FA,31.187411911603604,53.47659635247318,1.6291666666666667,50.809491905987535,frequency,25.0,1.0,45.0,1.665254237288136,0.02215093848888139,30.51155239138182,-0.021670907548770435,53.54017624697463,0.001188929341770173
33,hff03,hff03_3,frequency_electrical_25.0~-1.0_1.0,hff03_3_frequency_electrical_25.0~-1.0_1.0_1,F,FA,32.67135269699128,165.17289178910184,1.5250000000000001,49.8238128629117,frequency,25.0,1.0,75.0,1.5220000000000005,-0.0019672131147538963,32.73575089547417,0.00197109067017065,167.80900076902174,0.015959695028441967
34,hff19,hff19_5,frequency_electrical_50.0~-1.0_1.0,hff19_5_frequency_electrical_50.0~-1.0_1.0_0,M,Ad,14.40682945536253,189.14258398056097,4.025,57.98748855783419,frequency,50.0,1.0,60.0,4.119333333333333,0.0234368530020701,14.076910962413223,-0.022900145654636384,166.2284110838559,-0.12114761474898783
35,hff05,hff05_2,frequency_electrical_50.0~-1.0_1.0,hff05_2_frequency_electrical_50.0~-1.0_1.0_1,M,Ad,15.127191242303578,73.59375813850184,5.496875,83.15227936003748,frequency,50.0,1.0,90.0,5.609121621621622,0.020420078976076672,14.824474306192311,-0.020011443714991306,71.38635923033065,-0.029994376751584118
36,hff02,hff02_2,frequency_electrical_50.0~-1.0_1.0,hff02_2_frequency_electrical_50.0~-1.0_1.0_0,M,SA,15.836799519853214,269.0880298799405,3.254166666666667,51.535585104189,frequency,50.0,1.0,330.0,3.2984374999999995,0.013604353393085633,15.62424181273376,-0.013421759039949244,272.98119033596913,0.014467980823099635
37,hff05,hff05_1,frequency_electrical_50.0~-1.0_1.0,hff05_1_frequency_electrical_50.0~-1.0_1.0_1,M,,16.38792783763195,123.77709580375225,5.207142857142857,85.33428138309779,frequency,50.0,1.0,90.0,5.339130434782609,0.02534740860022655,15.982805145042745,-0.024720800372266205,123.7960756226092,0.0001533386991647845
38,hff20,hff20_1,frequency_electrical_50.0~-1.0_1.0,hff20_1_frequency_electrical_50.0~-1.0_1.0_0,F,SA,17.951329875519964,183.73775451190517,2.8583333333333334,51.310884560861226,frequency,50.0,1.0,90.0,2.905833333333334,0.016618075801749566,17.657889725561645,-0.016346429595641254,184.28299840005178,0.002967511438218162
39,hff10,hff10_1,frequency_electrical_50.0~-1.0_1.0,hff10_1_frequency_electrical_50.0~-1.0_1.0_0,F,FA,17.98280010269721,89.72082023642793,4.8375,86.99179549679776,frequency,50.0,1.0,30.0,4.924236641221374,0.017930055032842063,17.66604690939892,-0.01761423090338332,93.67635085970765,0.04408709832184221
40,hff13,hff13_2,frequency_electrical_50.0~-1.0_1.0,hff13_2_frequency_electrical_50.0~-1.0_1.0_0,F,FA,18.868919131922272,337.6921105023595,2.5458333333333334,48.03712329001878,frequency,50.0,1.0,60.0,2.6177480916030538,0.028248022888269775,18.350552310249938,-0.027471993390197236,336.70763171330447,-0.002915314745110642
41,hff19,hff19_3,frequency_electrical_50.0~-1.0_1.0,hff19_3_frequency_electrical_50.0~-1.0_1.0_0,M,FA,19.745486271016695,553.9153403016173,4.661111111111111,92.03590545212782,frequency,50.0,1.0,300.0,4.77475,0.02438021454112027,19.275544364024885,-0.023799966257686545,561.3618315870924,0.013443374363707461
42,hff11,hff11_2,frequency_electrical_50.0~-1.0_1.0,hff11_2_frequency_electrical_50.0~-1.0_1.0_0,F,FA,22.135128780021784,754.8698244039134,2.1725000000000003,48.08856727459733,frequency,50.0,1.0,180.0,2.2230468749999996,0.023266685845799495,21.631827837457244,-0.022737655947987823,673.3498562222599,-0.10799208757089496
43,hff02,hff02_1,frequency_electrical_50.0~-1.0_1.0,hff02_1_frequency_electrical_50.0~-1.0_1.0_0,M,FA,22.20494034099179,92.24261484244673,2.785714285714286,61.85661952133428,frequency,50.0,1.0,120.0,2.8345588235294117,0.017533936651583648,21.82230935123596,-0.017231795441912112,83.47433591524646,-0.09505670391257626
44,hff19,hff19_2,frequency_electrical_50.0~-1.0_1.0,hff19_2_frequency_electrical_50.0~-1.0_1.0_0,M,SA,23.202329105578443,354.017942312498,3.966666666666667,92.03590545212782,frequency,50.0,1.0,90.0,3.999166666666665,0.008193277310923897,23.013770898635848,-0.008126693061053958,356.26979905092674,0.006360854830462115
45,hff12,hff12_1,frequency_electrical_50.0~-1.0_1.0,hff12_1_frequency_electrical_50.0~-1.0_1.0_1,F,Ad,24.451816072112912,293.1048530396073,2.7964285714285717,68.3777570873729,frequency,50.0,1.0,60.0,2.823166666666666,0.009561515538526688,24.220233929053517,-0.009470958818617703,288.97117382750264,-0.014103073249169484
