,animal_id,unit_id,test_id,trial_id,sex,unit_type,conduction_velocity,time,exp_time,response_probability,log_probability
27,hff11,hff11_3,long-duration_electrical_50.0~-1.0_1.0,hff11_3_long-duration_electrical_50.0~-1.0_1.0_1,F,,11.314957005787607,27.5,877199251318.7649,0.6,-0.5108256237659907
28,hff11,hff11_3,long-duration_electrical_50.0~-1.0_1.0,hff11_3_long-duration_electrical_50.0~-1.0_1.0_1,F,,11.314957005787607,28.5,2384474784797.6777,0.64,-0.4462871026284195
29,hff11,hff11_3,long-duration_electrical_50.0~-1.0_1.0,hff11_3_long-duration_electrical_50.0~-1.0_1.0_1,F,,11.314957005787607,29.5,6481674477934.32,0.64,-0.4462871026284195
30,hff11,hff11_3,long-duration_electrical_50.0~-1.0_1.0,hff11_3_long-duration_electrical_50.0~-1.0_1.0_1,F,,11.314957005787607,30.5,17619017951355.633,0.62,-0.4780358009429998
31,hff11,hff11_3,long-duration_electrical_50.0~-1.0_1.0,hff11_3_long-duration_electrical_50.0~-1.0_1.0_1,F,,11.314957005787607,31.5,47893456332463.73,0.62,-0.4780358009429998
32,hff11,hff11_3,long-duration_electrical_50.0~-1.0_1.0,hff11_3_long-duration_electrical_50.0~-1.0_1.0_1,F,,11.314957005787607,32.5,130187912050632.94,0.6,-0.5108256237659907
33,hff11,hff11_3,long-duration_electrical_50.0~-1.0_1.0,hff11_3_long-duration_electrical_50.0~-1.0_1.0_1,F,,11.314957005787607,33.5,353887435612259.9,0.74,-0.3011050927839216
34,hff11,hff11_3,long-duration_electrical_50.0~-1.0_1.0,hff11_3_long-duration_electrical_50.0~-1.0_1.0_1,F,,11.314957005787607,34.5,961965785544776.4,0.72,-0.3285040669720361
35,hff11,hff11_3,long-duration_electrical_50.0~-1.0_1.0,hff11_3_long-duration_electrical_50.0~-1.0_1.0_1,F,,11.314957005787607,35.5,2614894114445696.5,0.62,-0.4780358009429998
36,hff11,hff11_3,long-duration_electrical_50.0~-1.0_1.0,hff11_3_long-duration_electrical_50.0~-1.0_1.0_1,F,,11.314957005787607,36.5,7108019154642244.0,0.58,-0.5447271754416722
37,hff11,hff11_3,long-duration_electrical_50.0~-1.0_1.0,hff11_3_long-duration_electrical_50.0~-1.0_1.0_1,F,,11.314957005787607,37.5,1.9321599304402836e+16,0.58,-0.5447271754416722
38,hff11,hff11_3,long-duration_electrical_50.0~-1.0_1.0,hff11_3_long-duration_electrical_50.0~-1.0_1.0_1,F,,11.314957005787607,38.5,5.252155228592516e+16,0.62,-0.4780358009429998
39,hff11,hff11_3,long-duration_electrical_50.0~-1.0_1.0,hff11_3_long-duration_electrical_50.0~-1.0_1.0_1,F,,11.314957005787607,39.5,1.4276838118129198e+17,0.62,-0.4780358009429998
40,hff11,hff11_3,long-duration_electrical_50.0~-1.0_1.0,hff11_3_long-duration_electrical_50.0~-1.0_1.0_1,F,,11.314957005787607,40.5,3.8808469624362035e+17,0.74,-0.3011050927839216
41,hff11,hff11_3,long-duration_electrical_50.0~-1.0_1.0,hff11_3_long-duration_electrical_50.0~-1.0_1.0_1,F,,11.314957005787607,41.5,1.0549235777020814e+18,0.76,-0.2744368457017603
42,hff11,hff11_3,long-duration_electrical_50.0~-1.0_1.0,hff11_3_long-duration_electrical_50.0~-1.0_1.0_1,F,,11.314957005787607,42.5,2.8675795916805714e+18,0.76,-0.2744368457017603
43,hff11,hff11_3,long-duration_electrical_50.0~-1.0_1.0,hff11_3_long-duration_electrical_50.0~-1.0_1.0_1,F,,11.314957005787607,43.5,7.794889495725307e+18,0.64,-0.4462871026284195
44,hff11,hff11_3,long-duration_electrical_50.0~-1.0_1.0,hff11_3_long-duration_electrical_50.0~-1.0_1.0_1,F,,11.314957005787607,44.5,2.118870647107639e+19,0.68,-0.3856624808119846
45,hff11,hff11_3,long-duration_electrical_50.0~-1.0_1.0,hff11_3_long-duration_electrical_50.0~-1.0_1.0_1,F,,11.314957005787607,45.5,5.759687576887954e+19,0.7,-0.35667494393873245
46,hff11,hff11_3,long-duration_electrical_50.0~-1.0_1.0,hff11_3_long-duration_electrical_50.0~-1.0_1.0_1,F,,11.314957005787607,46.5,1.5656454077855836e+20,0.58,-0.5447271754416722
47,hff11,hff11_3,long-duration_electrical_50.0~-1.0_1.0,hff11_3_long-duration_electrical_50.0~-1.0_1.0_1,F,,11.314957005787607,47.5,4.255865461793903e+20,0.62,-0.4780358009429998
48,hff11,hff11_3,long-duration_electrical_50.0~-1.0_1.0,hff11_3_long-duration_electrical_50.0~-1.0_1.0_1,F,,11.314957005787607,48.5,1.156864174916083e+21,0.6,-0.5108256237659907
49,hff11,hff11_3,long-duration_electrical_50.0~-1.0_1.0,hff11_3_long-duration_electrical_50.0~-1.0_1.0_1,F,,11.314957005787607,49.5,3.144682864669655e+21,0.62,-0.4780358009429998
50,hff11,hff11_3,long-duration_electrical_50.0~-1.0_1.0,hff11_3_long-duration_electrical_50.0~-1.0_1.0_1,F,,11.314957005787607,50.5,8.548134287298057e+21,0.56,-0.579818495252942
51,hff11,hff11_3,long-duration_electrical_50.0~-1.0_1.0,hff11_3_long-duration_electrical_50.0~-1.0_1.0_1,F,,11.314957005787607,51.5,2.3236238100390023e+22,0.6,-0.5108256237659907
52,hff11,hff11_3,long-duration_electrical_50.0~-1.0_1.0,hff11_3_long-duration_electrical_50.0~-1.0_1.0_1,F,,11.314957005787607,52.5,6.316264379003792e+22,0.56,-0.579818495252942
53,hff11,hff11_3,long-duration_electrical_50.0~-1.0_1.0,hff11_3_long-duration_electrical_50.0~-1.0_1.0_1,F,,11.314957005787607,53.5,1.7169386685189163e+23,0.64,-0.4462871026284195
54,hff11,hff11_3,long-duration_electrical_50.0~-1.0_1.0,hff11_3_long-duration_electrical_50.0~-1.0_1.0_1,F,,11.314957005787607,54.5,4.667123183213639e+23,0.56,-0.579818495252942
55,hff11,hff11_3,long-duration_electrical_50.0~-1.0_1.0,hff11_3_long-duration_electrical_50.0~-1.0_1.0_1,F,,11.314957005787607,55.5,1.2686556140109568e+24,0.54,-0.616186139423817
56,hff11,hff11_3,long-duration_electrical_50.0~-1.0_1.0,hff11_3_long-duration_electrical_50.0~-1.0_1.0_1,F,,11.314957005787607,56.5,3.4485635021385364e+24,0.66,-0.4155154439616658
57,hff11,hff11_3,long-duration_electrical_50.0~-1.0_1.0,hff11_3_long-duration_electrical_50.0~-1.0_1.0_1,F,,11.314957005787607,57.5,9.37416750215027e+24,0.74,-0.3011050927839216
58,hff11,hff11_3,long-duration_electrical_50.0~-1.0_1.0,hff11_3_long-duration_electrical_50.0~-1.0_1.0_1,F,,11.314957005787607,58.5,2.5481629178026397e+25,0.68,-0.3856624808119846
59,hff11,hff11_3,long-duration_electrical_50.0~-1.0_1.0,hff11_3_long-duration_electrical_50.0~-1.0_1.0_1,F,,11.314957005787607,59.5,6.926624955416095e+25,0.76,-0.2744368457017603
60,hff11,hff11_3,long-duration_electrical_50.0~-1.0_1.0,hff11_3_long-duration_electrical_50.0~-1.0_1.0_1,F,,11.314957005787607,60.5,1.8828518748858514e+26,0.78,-0.2484613592984996
61,hff11,hff11_3,long-duration_electrical_50.0~-1.0_1.0,hff11_3_long-duration_electrical_50.0~-1.0_1.0_1,F,,11.314957005787607,61.5,5.118122037182254e+26,0.72,-0.3285040669720361
62,hff11,hff11_3,long-duration_electrical_50.0~-1.0_1.0,hff11_3_long-duration_electrical_50.0~-1.0_1.0_1,F,,11.314957005787607,62.5,1.391249812950831e+27,0.76,-0.2744368457017603
63,hff11,hff11_3,long-duration_electrical_50.0~-1.0_1.0,hff11_3_long-duration_electrical_50.0~-1.0_1.0_1,F,,11.314957005787607,63.5,3.7818090853912897e+27,0.8,-0.2231435513142097
64,hff11,hff11_3,long-duration_electrical_50.0~-1.0_1.0,hff11_3_long-duration_electrical_50.0~-1.0_1.0_1,F,,11.314957005787607,64.5,1.0280022915520465e+28,0.78,-0.2484613592984996
65,hff11,hff11_3,long-duration_electrical_50.0~-1.0_1.0,hff11_3_long-duration_electrical_50.0~-1.0_1.0_1,F,,11.314957005787607,65.5,2.7943999487401853e+28,0.74,-0.3011050927839216
66,hff11,hff11_3,long-duration_electrical_50.0~-1.0_1.0,hff11_3_long-duration_electrical_50.0~-1.0_1.0_1,F,,11.314957005787607,66.5,7.595966602107334e+28,0.78,-0.2484613592984996
67,hff11,hff11_3,long-duration_electrical_50.0~-1.0_1.0,hff11_3_long-duration_electrical_50.0~-1.0_1.0_1,F,,11.314957005787607,67.5,2.0647977984090163e+29,0.9,-0.10536051565782628
68,hff11,hff11_3,long-duration_electrical_50.0~-1.0_1.0,hff11_3_long-duration_electrical_50.0~-1.0_1.0_1,F,,11.314957005787607,68.5,5.612702334857472e+29,0.78,-0.2484613592984996
69,hff11,hff11_3,long-duration_electrical_50.0~-1.0_1.0,hff11_3_long-duration_electrical_50.0~-1.0_1.0_1,F,,11.314957005787607,69.5,1.5256906765392722e+30,0.88,-0.12783337150988489
70,hff11,hff11_3,long-duration_electrical_50.0~-1.0_1.0,hff11_3_long-duration_electrical_50.0~-1.0_1.0_1,F,,11.314957005787607,70.5,4.1472572418860906e+30,0.92,-0.08338160893905101
71,hff11,hff11_3,long-duration_electrical_50.0~-1.0_1.0,hff11_3_long-duration_electrical_50.0~-1.0_1.0_1,F,,11.314957005787607,71.5,1.1273413998564138e+31,0.76,-0.2744368457017603
72,hff11,hff11_3,long-duration_electrical_50.0~-1.0_1.0,hff11_3_long-duration_electrical_50.0~-1.0_1.0_1,F,,11.314957005787607,72.5,3.0644316416992722e+31,0.68,-0.3856624808119846
73,hff11,hff11_3,long-duration_electrical_50.0~-1.0_1.0,hff11_3_long-duration_electrical_50.0~-1.0_1.0_1,F,,11.314957005787607,73.5,8.329988846186052e+31,0.78,-0.2484613592984996
74,hff11,hff11_3,long-duration_electrical_50.0~-1.0_1.0,hff11_3_long-duration_electrical_50.0~-1.0_1.0_1,F,,11.314957005787607,74.5,2.2643257311854073e+32,0.6,-0.5108256237659907
75,hff11,hff11_3,long-duration_electrical_50.0~-1.0_1.0,hff11_3_long-duration_electrical_50.0~-1.0_1.0_1,F,,11.314957005787607,75.5,6.155075488793534e+32,0.46,-0.7765287894989963
