,animal_id,unit_id,test_id,trial_id,sex,unit_type,conduction_velocity,absolute_charge,response_probability_all,response_probability_initial,amplitude
33,hff05,hff05_2,amplitude_electrical_100.0~-1.0_1.0,hff05_2_amplitude_electrical_100.0~-1.0_1.0_0,M,Ad,15.127191242303578,180.0,0.9933333333333333,1.0,1.0
34,hff02,hff02_2,amplitude_electrical_100.0~-1.0_1.0,hff02_2_amplitude_electrical_100.0~-1.0_1.0_0,M,SA,15.836799519853214,660.0,0.09666666666666666,0.16666666666666666,1.0
35,hff05,hff05_1,amplitude_electrical_100.0~-1.0_1.0,hff05_1_amplitude_electrical_100.0~-1.0_1.0_1,M,,16.38792783763195,180.0,0.42333333333333334,0.7333333333333333,1.0
36,hff20,hff20_1,amplitude_electrical_100.0~-1.0_1.0,hff20_1_amplitude_electrical_100.0~-1.0_1.0_0,F,SA,17.951329875519964,180.0,0.9633333333333334,1.0,1.0
37,hff10,hff10_1,amplitude_electrical_100.0~-1.0_1.0,hff10_1_amplitude_electrical_100.0~-1.0_1.0_0,F,FA,17.98280010269721,60.0,0.6,0.8666666666666667,1.0
38,hff19,hff19_3,amplitude_electrical_100.0~-1.0_1.0,hff19_3_amplitude_electrical_100.0~-1.0_1.0_0,M,FA,19.745486271016695,600.0,0.43,0.8,1.0
39,hff11,hff11_2,amplitude_electrical_100.0~-1.0_1.0,hff11_2_amplitude_electrical_100.0~-1.0_1.0_0,F,FA,22.135128780021784,360.0,0.85,1.0,1.0
40,hff02,hff02_1,amplitude_electrical_100.0~-1.0_1.0,hff02_1_amplitude_electrical_100.0~-1.0_1.0_0,M,FA,22.20494034099179,240.0,0.2833333333333333,0.3333333333333333,1.0
41,hff19,hff19_2,amplitude_electrical_100.0~-1.0_1.0,hff19_2_amplitude_electrical_100.0~-1.0_1.0_0,M,SA,23.202329105578443,180.0,1.0,1.0,1.0
42,hff12,hff12_1,amplitude_electrical_100.0~-1.0_1.0,hff12_1_amplitude_electrical_100.0~-1.0_1.0_1,F,Ad,24.451816072112912,120.0,1.0,1.0,1.0
43,hff11,hff11_1,amplitude_electrical_100.0~-1.0_1.0,hff11_1_amplitude_electrical_100.0~-1.0_1.0_0,F,FA,25.854068427202865,360.0,0.41,0.8,1.0
44,hff11,hff11_1,amplitude_electrical_100.0~-1.0_1.0,hff11_1_amplitude_electrical_100.0~-1.0_1.0_1,F,FA,25.854068427202865,360.0,0.48,0.8333333333333334,1.0
45,hff16,hff16_1,amplitude_electrical_100.0~-1.0_1.0,hff16_1_amplitude_electrical_100.0~-1.0_1.0_0,M,SA,28.430261549470504,420.0,0.2833333333333333,0.6,1.0
46,hff08,hff08_1,amplitude_electrical_100.0~-1.0_1.0,hff08_1_amplitude_electrical_100.0~-1.0_1.0_0,F,FA,31.187411911603604,180.0,0.68,0.9666666666666667,1.0
47,hff03,hff03_3,amplitude_electrical_100.0~-1.0_1.0,hff03_3_amplitude_electrical_100.0~-1.0_1.0_0,F,FA,32.67135269699128,300.0,1.0,1.0,1.0
48,hff19,hff19_5,amplitude_electrical_100.0~-1.0_1.2,hff19_5_amplitude_electrical_100.0~-1.0_1.2_0,M,Ad,14.40682945536253,144.0,0.9733333333333334,1.0,1.2
49,hff05,hff05_2,amplitude_electrical_100.0~-1.0_1.2,hff05_2_amplitude_electrical_100.0~-1.0_1.2_0,M,Ad,15.127191242303578,216.0,0.99,1.0,1.2
50,hff02,hff02_2,amplitude_electrical_100.0~-1.0_1.2,hff02_2_amplitude_electrical_100.0~-1.0_1.2_0,M,SA,15.836799519853214,792.0,1.0,1.0,1.2
51,hff05,hff05_1,amplitude_electrical_100.0~-1.0_1.2,hff05_1_amplitude_electrical_100.0~-1.0_1.2_1,M,,16.38792783763195,216.0,1.0,1.0,1.2
52,hff20,hff20_1,amplitude_electrical_100.0~-1.0_1.2,hff20_1_amplitude_electrical_100.0~-1.0_1.2_0,F,SA,17.951329875519964,216.0,0.98,1.0,1.2
53,hff10,hff10_1,amplitude_electrical_100.0~-1.0_1.2,hff10_1_amplitude_electrical_100.0~-1.0_1.2_0,F,FA,17.98280010269721,72.0,1.0,1.0,1.2
54,hff19,hff19_3,amplitude_electrical_100.0~-1.0_1.2,hff19_3_amplitude_electrical_100.0~-1.0_1.2_0,M,FA,19.745486271016695,720.0,0.7133333333333334,1.0,1.2
55,hff11,hff11_2,amplitude_electrical_100.0~-1.0_1.2,hff11_2_amplitude_electrical_100.0~-1.0_1.2_0,F,FA,22.135128780021784,432.0,1.0,1.0,1.2
56,hff02,hff02_1,amplitude_electrical_100.0~-1.0_1.2,hff02_1_amplitude_electrical_100.0~-1.0_1.2_0,M,FA,22.20494034099179,288.0,0.8533333333333334,0.8,1.2
57,hff19,hff19_2,amplitude_electrical_100.0~-1.0_1.2,hff19_2_amplitude_electrical_100.0~-1.0_1.2_0,M,SA,23.202329105578443,216.0,1.0,1.0,1.2
58,hff12,hff12_1,amplitude_electrical_100.0~-1.0_1.2,hff12_1_amplitude_electrical_100.0~-1.0_1.2_1,F,Ad,24.451816072112912,144.0,1.0,1.0,1.2
59,hff11,hff11_1,amplitude_electrical_100.0~-1.0_1.2,hff11_1_amplitude_electrical_100.0~-1.0_1.2_0,F,FA,25.854068427202865,432.0,1.0,1.0,1.2
60,hff11,hff11_1,amplitude_electrical_100.0~-1.0_1.2,hff11_1_amplitude_electrical_100.0~-1.0_1.2_1,F,FA,25.854068427202865,432.0,1.0,1.0,1.2
61,hff16,hff16_1,amplitude_electrical_100.0~-1.0_1.2,hff16_1_amplitude_electrical_100.0~-1.0_1.2_0,M,SA,28.430261549470504,504.0,0.9466666666666667,0.9333333333333333,1.2
62,hff08,hff08_1,amplitude_electrical_100.0~-1.0_1.2,hff08_1_amplitude_electrical_100.0~-1.0_1.2_0,F,FA,31.187411911603604,216.0,0.6933333333333334,0.7666666666666667,1.2
63,hff03,hff03_3,amplitude_electrical_100.0~-1.0_1.2,hff03_3_amplitude_electrical_100.0~-1.0_1.2_0,F,FA,32.67135269699128,360.0,1.0,1.0,1.2
64,hff19,hff19_5,amplitude_electrical_100.0~-1.0_1.5,hff19_5_amplitude_electrical_100.0~-1.0_1.5_0,M,Ad,14.40682945536253,180.00000000000003,0.9866666666666667,1.0,1.5
65,hff05,hff05_2,amplitude_electrical_100.0~-1.0_1.5,hff05_2_amplitude_electrical_100.0~-1.0_1.5_0,M,Ad,15.127191242303578,270.0,0.9866666666666667,1.0,1.5
66,hff02,hff02_2,amplitude_electrical_100.0~-1.0_1.5,hff02_2_amplitude_electrical_100.0~-1.0_1.5_0,M,SA,15.836799519853214,990.0000000000001,1.0,1.0,1.5
67,hff05,hff05_1,amplitude_electrical_100.0~-1.0_1.5,hff05_1_amplitude_electrical_100.0~-1.0_1.5_1,M,,16.38792783763195,270.0,1.0,1.0,1.5
68,hff20,hff20_1,amplitude_electrical_100.0~-1.0_1.5,hff20_1_amplitude_electrical_100.0~-1.0_1.5_0,F,SA,17.951329875519964,270.0,0.9966666666666667,1.0,1.5
69,hff10,hff10_1,amplitude_electrical_100.0~-1.0_1.5,hff10_1_amplitude_electrical_100.0~-1.0_1.5_0,F,FA,17.98280010269721,90.00000000000001,1.0,1.0,1.5
70,hff19,hff19_3,amplitude_electrical_100.0~-1.0_1.5,hff19_3_amplitude_electrical_100.0~-1.0_1.5_0,M,FA,19.745486271016695,900.0,0.9466666666666667,0.7666666666666667,1.5
71,hff11,hff11_2,amplitude_electrical_100.0~-1.0_1.5,hff11_2_amplitude_electrical_100.0~-1.0_1.5_0,F,FA,22.135128780021784,540.0,1.0,1.0,1.5
72,hff02,hff02_1,amplitude_electrical_100.0~-1.0_1.5,hff02_1_amplitude_electrical_100.0~-1.0_1.5_0,M,FA,22.20494034099179,360.00000000000006,0.02,0.0,1.5
73,hff19,hff19_2,amplitude_electrical_100.0~-1.0_1.5,hff19_2_amplitude_electrical_100.0~-1.0_1.5_0,M,SA,23.202329105578443,270.0,1.0,1.0,1.5
74,hff12,hff12_1,amplitude_electrical_100.0~-1.0_1.5,hff12_1_amplitude_electrical_100.0~-1.0_1.5_1,F,Ad,24.451816072112912,180.00000000000003,1.0,1.0,1.5
75,hff11,hff11_1,amplitude_electrical_100.0~-1.0_1.5,hff11_1_amplitude_electrical_100.0~-1.0_1.5_0,F,FA,25.854068427202865,540.0,0.9866666666666667,0.9666666666666667,1.5
76,hff11,hff11_1,amplitude_electrical_100.0~-1.0_1.5,hff11_1_amplitude_electrical_100.0~-1.0_1.5_1,F,FA,25.854068427202865,540.0,0.49,0.7333333333333333,1.5
77,hff16,hff16_1,amplitude_electrical_100.0~-1.0_1.5,hff16_1_amplitude_electrical_100.0~-1.0_1.5_0,M,SA,28.430261549470504,629.9999999999999,0.5366666666666666,0.3333333333333333,1.5
78,hff08,hff08_1,amplitude_electrical_100.0~-1.0_1.5,hff08_1_amplitude_electrical_100.0~-1.0_1.5_0,F,FA,31.187411911603604,270.0,0.9033333333333333,1.0,1.5
79,hff03,hff03_3,amplitude_electrical_100.0~-1.0_1.5,hff03_3_amplitude_electrical_100.0~-1.0_1.5_0,F,FA,32.67135269699128,450.0,0.9966666666666667,1.0,1.5
80,hff19,hff19_5,amplitude_electrical_100.0~-1.0_2.0,hff19_5_amplitude_electrical_100.0~-1.0_2.0_0,M,Ad,14.40682945536253,240.0,0.9866666666666667,1.0,2.0
81,hff05,hff05_2,amplitude_electrical_100.0~-1.0_2.0,hff05_2_amplitude_electrical_100.0~-1.0_2.0_0,M,Ad,15.127191242303578,360.0,1.0,1.0,2.0
82,hff02,hff02_2,amplitude_electrical_100.0~-1.0_2.0,hff02_2_amplitude_electrical_100.0~-1.0_2.0_0,M,SA,15.836799519853214,1320.0,1.0,1.0,2.0
83,hff05,hff05_1,amplitude_electrical_100.0~-1.0_2.0,hff05_1_amplitude_electrical_100.0~-1.0_2.0_1,M,,16.38792783763195,360.0,1.0,1.0,2.0
84,hff20,hff20_1,amplitude_electrical_100.0~-1.0_2.0,hff20_1_amplitude_electrical_100.0~-1.0_2.0_0,F,SA,17.951329875519964,360.0,0.93,1.0,2.0
85,hff10,hff10_1,amplitude_electrical_100.0~-1.0_2.0,hff10_1_amplitude_electrical_100.0~-1.0_2.0_0,F,FA,17.98280010269721,120.0,1.0,1.0,2.0
86,hff19,hff19_3,amplitude_electrical_100.0~-1.0_2.0,hff19_3_amplitude_electrical_100.0~-1.0_2.0_0,M,FA,19.745486271016695,1200.0,0.9733333333333334,0.8,2.0
87,hff11,hff11_2,amplitude_electrical_100.0~-1.0_2.0,hff11_2_amplitude_electrical_100.0~-1.0_2.0_0,F,FA,22.135128780021784,720.0,1.0,1.0,2.0
88,hff02,hff02_1,amplitude_electrical_100.0~-1.0_2.0,hff02_1_amplitude_electrical_100.0~-1.0_2.0_0,M,FA,22.20494034099179,480.0,0.27,0.4,2.0
89,hff19,hff19_2,amplitude_electrical_100.0~-1.0_2.0,hff19_2_amplitude_electrical_100.0~-1.0_2.0_0,M,SA,23.202329105578443,360.0,1.0,1.0,2.0
90,hff12,hff12_1,amplitude_electrical_100.0~-1.0_2.0,hff12_1_amplitude_electrical_100.0~-1.0_2.0_1,F,Ad,24.451816072112912,240.0,1.0,1.0,2.0
91,hff11,hff11_1,amplitude_electrical_100.0~-1.0_2.0,hff11_1_amplitude_electrical_100.0~-1.0_2.0_0,F,FA,25.854068427202865,720.0,1.0,1.0,2.0
92,hff11,hff11_1,amplitude_electrical_100.0~-1.0_2.0,hff11_1_amplitude_electrical_100.0~-1.0_2.0_1,F,FA,25.854068427202865,720.0,1.0,1.0,2.0
93,hff16,hff16_1,amplitude_electrical_100.0~-1.0_2.0,hff16_1_amplitude_electrical_100.0~-1.0_2.0_0,M,SA,28.430261549470504,840.0,0.7533333333333333,0.5666666666666667,2.0
94,hff08,hff08_1,amplitude_electrical_100.0~-1.0_2.0,hff08_1_amplitude_electrical_100.0~-1.0_2.0_0,F,FA,31.187411911603604,360.0,0.99,0.9666666666666667,2.0
95,hff03,hff03_3,amplitude_electrical_100.0~-1.0_2.0,hff03_3_amplitude_electrical_100.0~-1.0_2.0_0,F,FA,32.67135269699128,600.0,1.0,1.0,2.0
