Animal ID,Unit ID,Sex,Conduction Velocity,A,k,σ(k),c,σ(c),RMSE (fit vs data),Notes
HFF05,HFF05_2,M,15.127191242303578,0.016123543717880367,1.2148192829594875,6.055394915,0.9838764562821196,0.002189685,0.037608843,Exponential decay fit
HFF05,HFF05_2,M,15.127191242303578,,,,0.9839333333333333,0.037619085,0.037619085,Mean value
HFF10,HFF10_1,F,17.98280010269721,0.596494589,0.019848580077265834,0.001161769,0.40350541081688496,0.008264865,0.088963216,
HFF11,HFF11_1,F,25.854068427202865,0.6543565671546656,0.077550105,0.002861398,0.3456434328453344,0.002587555,0.040910165,
HFF11,HFF11_2,F,22.135128780021784,0.5259527214724691,0.1110061968619802,0.006493371,0.4740472785275309,0.002727542,0.044354697,
HFF11,HFF11_3,F,11.314957005787607,0.20333298351560913,0.1121714635156988,0.064281294,0.7966670164843909,0.010275000205403737,0.16719923256959274,
HFF16,HFF16_1,M,28.430261549470504,0.8506308304406996,0.3151119751145238,0.020943755788603382,0.14936916955930035,0.002931799,0.04959686,
HFF19,HFF19_2,M,23.202329105578443,6.455870661336418e-10,0.11591500130082018,inf,0.999999999,inf,6.315098626699249e-10,Exponential decay fit
HFF19,HFF19_2,M,23.202329105578443,,,,1,0,0,Mean value
HFF19,HFF19_3,M,19.745486271016695,0.7622973501602122,0.2571026156306883,0.013674433371926835,0.23770264983978784,0.002331181,0.039252096,
HFF19,HFF19_5,M,14.40682945536253,0.071745302,0.023021819655674264,0.006128383,0.928254698,0.004105872,0.04828729,
HFF20,HFF20_1,F,17.951329875519964,0.431417546,0.018344225818424424,0.001543412,0.568582454,0.009058393,0.092226977,
