,animal_id,unit_id,test_id,trial_id,sex,unit_type,conduction_velocity,absolute_charge,response_probability_all,response_probability_initial,frequency
34,hff19,hff19_5,frequency_electrical_50.0~-1.0_1.0,hff19_5_frequency_electrical_50.0~-1.0_1.0_0,M,Ad,14.40682945536253,60.0,1.0,1.0,50
35,hff05,hff05_2,frequency_electrical_50.0~-1.0_1.0,hff05_2_frequency_electrical_50.0~-1.0_1.0_1,M,Ad,15.127191242303578,90.0,0.9866666666666667,0.9666666666666667,50
36,hff02,hff02_2,frequency_electrical_50.0~-1.0_1.0,hff02_2_frequency_electrical_50.0~-1.0_1.0_0,M,SA,15.836799519853214,330.0,0.7466666666666667,0.9333333333333333,50
37,hff05,hff05_1,frequency_electrical_50.0~-1.0_1.0,hff05_1_frequency_electrical_50.0~-1.0_1.0_1,M,,16.38792783763195,90.0,0.92,0.9666666666666667,50
38,hff20,hff20_1,frequency_electrical_50.0~-1.0_1.0,hff20_1_frequency_electrical_50.0~-1.0_1.0_0,F,SA,17.951329875519964,90.0,1.0,1.0,50
39,hff10,hff10_1,frequency_electrical_50.0~-1.0_1.0,hff10_1_frequency_electrical_50.0~-1.0_1.0_0,F,FA,17.98280010269721,30.0,0.8733333333333333,0.9666666666666667,50
40,hff13,hff13_2,frequency_electrical_50.0~-1.0_1.0,hff13_2_frequency_electrical_50.0~-1.0_1.0_0,F,FA,18.868919131922272,60.0,0.8733333333333333,1.0,50
41,hff19,hff19_3,frequency_electrical_50.0~-1.0_1.0,hff19_3_frequency_electrical_50.0~-1.0_1.0_0,M,FA,19.745486271016695,300.0,0.6666666666666666,0.9666666666666667,50
42,hff11,hff11_2,frequency_electrical_50.0~-1.0_1.0,hff11_2_frequency_electrical_50.0~-1.0_1.0_0,F,FA,22.135128780021784,180.0,0.4266666666666667,0.5333333333333333,50
43,hff02,hff02_1,frequency_electrical_50.0~-1.0_1.0,hff02_1_frequency_electrical_50.0~-1.0_1.0_0,M,FA,22.20494034099179,120.0,0.22666666666666666,0.3333333333333333,50
44,hff19,hff19_2,frequency_electrical_50.0~-1.0_1.0,hff19_2_frequency_electrical_50.0~-1.0_1.0_0,M,SA,23.202329105578443,90.0,1.0,1.0,50
45,hff12,hff12_1,frequency_electrical_50.0~-1.0_1.0,hff12_1_frequency_electrical_50.0~-1.0_1.0_1,F,Ad,24.451816072112912,60.0,1.0,1.0,50
46,hff11,hff11_1,frequency_electrical_50.0~-1.0_1.0,hff11_1_frequency_electrical_50.0~-1.0_1.0_0,F,FA,25.854068427202865,180.0,1.0,1.0,50
47,hff15,hff15_1,frequency_electrical_50.0~-1.0_1.0,hff15_1_frequency_electrical_50.0~-1.0_1.0_1,M,,28.103205149979775,120.0,1.0,1.0,50
48,hff16,hff16_1,frequency_electrical_50.0~-1.0_1.0,hff16_1_frequency_electrical_50.0~-1.0_1.0_0,M,SA,28.430261549470504,210.0,0.5,0.7,50
49,hff08,hff08_1,frequency_electrical_50.0~-1.0_1.0,hff08_1_frequency_electrical_50.0~-1.0_1.0_0,F,FA,31.187411911603604,90.0,0.8133333333333334,0.9,50
50,hff03,hff03_3,frequency_electrical_50.0~-1.0_1.0,hff03_3_frequency_electrical_50.0~-1.0_1.0_1,F,FA,32.67135269699128,150.0,1.0,1.0,50
51,hff19,hff19_5,frequency_electrical_100.0~-1.0_1.0,hff19_5_frequency_electrical_100.0~-1.0_1.0_0,M,Ad,14.40682945536253,120.0,0.86,1.0,100
52,hff05,hff05_2,frequency_electrical_100.0~-1.0_1.0,hff05_2_frequency_electrical_100.0~-1.0_1.0_1,M,Ad,15.127191242303578,180.0,0.9833333333333333,1.0,100
53,hff02,hff02_2,frequency_electrical_100.0~-1.0_1.0,hff02_2_frequency_electrical_100.0~-1.0_1.0_0,M,SA,15.836799519853214,660.0,0.49333333333333335,0.8333333333333334,100
54,hff05,hff05_1,frequency_electrical_100.0~-1.0_1.0,hff05_1_frequency_electrical_100.0~-1.0_1.0_1,M,,16.38792783763195,180.0,0.47333333333333333,0.7333333333333333,100
55,hff20,hff20_1,frequency_electrical_100.0~-1.0_1.0,hff20_1_frequency_electrical_100.0~-1.0_1.0_0,F,SA,17.951329875519964,180.0,0.9866666666666667,1.0,100
56,hff10,hff10_1,frequency_electrical_100.0~-1.0_1.0,hff10_1_frequency_electrical_100.0~-1.0_1.0_0,F,FA,17.98280010269721,60.0,0.6133333333333333,0.8333333333333334,100
57,hff13,hff13_2,frequency_electrical_100.0~-1.0_1.0,hff13_2_frequency_electrical_100.0~-1.0_1.0_0,F,FA,18.868919131922272,120.0,1.0,1.0,100
58,hff19,hff19_3,frequency_electrical_100.0~-1.0_1.0,hff19_3_frequency_electrical_100.0~-1.0_1.0_0,M,FA,19.745486271016695,600.0,0.43666666666666665,0.6666666666666666,100
59,hff11,hff11_2,frequency_electrical_100.0~-1.0_1.0,hff11_2_frequency_electrical_100.0~-1.0_1.0_0,F,FA,22.135128780021784,360.0,0.2833333333333333,0.4666666666666667,100
60,hff02,hff02_1,frequency_electrical_100.0~-1.0_1.0,hff02_1_frequency_electrical_100.0~-1.0_1.0_0,M,FA,22.20494034099179,240.0,0.49333333333333335,0.6666666666666666,100
61,hff19,hff19_2,frequency_electrical_100.0~-1.0_1.0,hff19_2_frequency_electrical_100.0~-1.0_1.0_0,M,SA,23.202329105578443,180.0,1.0,1.0,100
62,hff12,hff12_1,frequency_electrical_100.0~-1.0_1.0,hff12_1_frequency_electrical_100.0~-1.0_1.0_1,F,Ad,24.451816072112912,120.0,1.0,1.0,100
63,hff11,hff11_1,frequency_electrical_100.0~-1.0_1.0,hff11_1_frequency_electrical_100.0~-1.0_1.0_0,F,FA,25.854068427202865,360.0,0.7333333333333333,1.0,100
64,hff15,hff15_1,frequency_electrical_100.0~-1.0_1.0,hff15_1_frequency_electrical_100.0~-1.0_1.0_1,M,,28.103205149979775,240.0,1.0,1.0,100
65,hff16,hff16_1,frequency_electrical_100.0~-1.0_1.0,hff16_1_frequency_electrical_100.0~-1.0_1.0_0,M,SA,28.430261549470504,420.0,0.2866666666666667,0.5,100
66,hff08,hff08_1,frequency_electrical_100.0~-1.0_1.0,hff08_1_frequency_electrical_100.0~-1.0_1.0_0,F,FA,31.187411911603604,180.0,0.6666666666666666,0.7333333333333333,100
67,hff03,hff03_3,frequency_electrical_100.0~-1.0_1.0,hff03_3_frequency_electrical_100.0~-1.0_1.0_1,F,FA,32.67135269699128,300.0,1.0,1.0,100
